05978	奸	CJK UNIFIED IDEOGRAPH-5978
0626e	扮	CJK UNIFIED IDEOGRAPH-626E
07169	煩	CJK UNIFIED IDEOGRAPH-7169
076e4	盤	CJK UNIFIED IDEOGRAPH-76E4
08e84	躄	CJK UNIFIED IDEOGRAPH-8E84
085f7	藷	CJK UNIFIED IDEOGRAPH-85F7
06e9c	溜	CJK UNIFIED IDEOGRAPH-6E9C
096dc	雜	CJK UNIFIED IDEOGRAPH-96DC
0502b	倫	CJK UNIFIED IDEOGRAPH-502B
06505	攅	CJK UNIFIED IDEOGRAPH-6505
062c8	拈	CJK UNIFIED IDEOGRAPH-62C8
082a5	芥	CJK UNIFIED IDEOGRAPH-82A5
050e7	僧	CJK UNIFIED IDEOGRAPH-50E7
06263	扣	CJK UNIFIED IDEOGRAPH-6263
07c1f	簟	CJK UNIFIED IDEOGRAPH-7C1F
06934	椴	CJK UNIFIED IDEOGRAPH-6934
05ef0	廰	CJK UNIFIED IDEOGRAPH-5EF0
05583	喃	CJK UNIFIED IDEOGRAPH-5583
04fdd	保	CJK UNIFIED IDEOGRAPH-4FDD
0938c	鎌	CJK UNIFIED IDEOGRAPH-938C
089d2	角	CJK UNIFIED IDEOGRAPH-89D2
089e6	触	CJK UNIFIED IDEOGRAPH-89E6
05ba2	客	CJK UNIFIED IDEOGRAPH-5BA2
09c15	鰕	CJK UNIFIED IDEOGRAPH-9C15
09db8	鶸	CJK UNIFIED IDEOGRAPH-9DB8
09dab	鶫	CJK UNIFIED IDEOGRAPH-9DAB
07c38	簸	CJK UNIFIED IDEOGRAPH-7C38
08925	褥	CJK UNIFIED IDEOGRAPH-8925
06908	椈	CJK UNIFIED IDEOGRAPH-6908
07d76	絶	CJK UNIFIED IDEOGRAPH-7D76
089dd	觝	CJK UNIFIED IDEOGRAPH-89DD
09cf6	鳶	CJK UNIFIED IDEOGRAPH-9CF6
05eff	廿	CJK UNIFIED IDEOGRAPH-5EFF
05b75	孵	CJK UNIFIED IDEOGRAPH-5B75
0559a	喚	CJK UNIFIED IDEOGRAPH-559A
07d62	絢	CJK UNIFIED IDEOGRAPH-7D62
07cfe	糾	CJK UNIFIED IDEOGRAPH-7CFE
09da4	鶤	CJK UNIFIED IDEOGRAPH-9DA4
08702	蜂	CJK UNIFIED IDEOGRAPH-8702
0671e	朞	CJK UNIFIED IDEOGRAPH-671E
07d89	綉	CJK UNIFIED IDEOGRAPH-7D89
07357	獗	CJK UNIFIED IDEOGRAPH-7357
05540	啀	CJK UNIFIED IDEOGRAPH-5540
052f9	勹	CJK UNIFIED IDEOGRAPH-52F9
08070	聰	CJK UNIFIED IDEOGRAPH-8070
07425	琥	CJK UNIFIED IDEOGRAPH-7425
073bb	玻	CJK UNIFIED IDEOGRAPH-73BB
080aa	肪	CJK UNIFIED IDEOGRAPH-80AA
0870d	蜍	CJK UNIFIED IDEOGRAPH-870D
073c0	珀	CJK UNIFIED IDEOGRAPH-73C0
0554f	問	CJK UNIFIED IDEOGRAPH-554F
06075	恵	CJK UNIFIED IDEOGRAPH-6075
067d8	柘	CJK UNIFIED IDEOGRAPH-67D8
074e6	瓦	CJK UNIFIED IDEOGRAPH-74E6
08058	聘	CJK UNIFIED IDEOGRAPH-8058
067ff	柿	CJK UNIFIED IDEOGRAPH-67FF
0734e	獎	CJK UNIFIED IDEOGRAPH-734E
0807f	聿	CJK UNIFIED IDEOGRAPH-807F
06840	桀	CJK UNIFIED IDEOGRAPH-6840
08fe6	迦	CJK UNIFIED IDEOGRAPH-8FE6
07586	疆	CJK UNIFIED IDEOGRAPH-7586
09ed8	默	CJK UNIFIED IDEOGRAPH-9ED8
06698	暘	CJK UNIFIED IDEOGRAPH-6698
06f20	漠	CJK UNIFIED IDEOGRAPH-6F20
09bad	鮭	CJK UNIFIED IDEOGRAPH-9BAD
068ba	梺	CJK UNIFIED IDEOGRAPH-68BA
08f19	輙	CJK UNIFIED IDEOGRAPH-8F19
05cf6	島	CJK UNIFIED IDEOGRAPH-5CF6
06854	桔	CJK UNIFIED IDEOGRAPH-6854
06fee	濮	CJK UNIFIED IDEOGRAPH-6FEE
0884c	行	CJK UNIFIED IDEOGRAPH-884C
05d73	嵳	CJK UNIFIED IDEOGRAPH-5D73
09e1e	鸞	CJK UNIFIED IDEOGRAPH-9E1E
08acf	諏	CJK UNIFIED IDEOGRAPH-8ACF
05c01	封	CJK UNIFIED IDEOGRAPH-5C01
07baa	箪	CJK UNIFIED IDEOGRAPH-7BAA
08aa8	誨	CJK UNIFIED IDEOGRAPH-8AA8
07b70	筰	CJK UNIFIED IDEOGRAPH-7B70
0759d	疝	CJK UNIFIED IDEOGRAPH-759D
09583	閃	CJK UNIFIED IDEOGRAPH-9583
054ee	哮	CJK UNIFIED IDEOGRAPH-54EE
05352	卒	CJK UNIFIED IDEOGRAPH-5352
061f6	懶	CJK UNIFIED IDEOGRAPH-61F6
072db	狛	CJK UNIFIED IDEOGRAPH-72DB
06883	梃	CJK UNIFIED IDEOGRAPH-6883
075bd	疽	CJK UNIFIED IDEOGRAPH-75BD
095c3	闃	CJK UNIFIED IDEOGRAPH-95C3
053cc	双	CJK UNIFIED IDEOGRAPH-53CC
05420	吠	CJK UNIFIED IDEOGRAPH-5420
086c9	蛉	CJK UNIFIED IDEOGRAPH-86C9
081fe	臾	CJK UNIFIED IDEOGRAPH-81FE
06897	梗	CJK UNIFIED IDEOGRAPH-6897
07551	畑	CJK UNIFIED IDEOGRAPH-7551
05346	卆	CJK UNIFIED IDEOGRAPH-5346
06667	晧	CJK UNIFIED IDEOGRAPH-6667
08892	袒	CJK UNIFIED IDEOGRAPH-8892
0754c	界	CJK UNIFIED IDEOGRAPH-754C
05408	合	CJK UNIFIED IDEOGRAPH-5408
0543b	吻	CJK UNIFIED IDEOGRAPH-543B
075b2	疲	CJK UNIFIED IDEOGRAPH-75B2
06101	愁	CJK UNIFIED IDEOGRAPH-6101
0723a	爺	CJK UNIFIED IDEOGRAPH-723A
066b8	暸	CJK UNIFIED IDEOGRAPH-66B8
066ab	暫	CJK UNIFIED IDEOGRAPH-66AB
06115	愕	CJK UNIFIED IDEOGRAPH-6115
081f3	至	CJK UNIFIED IDEOGRAPH-81F3
072e0	狠	CJK UNIFIED IDEOGRAPH-72E0
08cc2	賂	CJK UNIFIED IDEOGRAPH-8CC2
06cbe	沾	CJK UNIFIED IDEOGRAPH-6CBE
05a1a	娚	CJK UNIFIED IDEOGRAPH-5A1A
04ecb	介	CJK UNIFIED IDEOGRAPH-4ECB
05193	冓	CJK UNIFIED IDEOGRAPH-5193
0979c	鞜	CJK UNIFIED IDEOGRAPH-979C
07948	祈	CJK UNIFIED IDEOGRAPH-7948
06c50	汐	CJK UNIFIED IDEOGRAPH-6C50
058f2	売	CJK UNIFIED IDEOGRAPH-58F2
05f6c	彬	CJK UNIFIED IDEOGRAPH-5F6C
05f59	彙	CJK UNIFIED IDEOGRAPH-5F59
08cb6	貶	CJK UNIFIED IDEOGRAPH-8CB6
06cca	泊	CJK UNIFIED IDEOGRAPH-6CCA
06d36	洶	CJK UNIFIED IDEOGRAPH-6D36
04ec4	仄	CJK UNIFIED IDEOGRAPH-4EC4
08ccd	賍	CJK UNIFIED IDEOGRAPH-8CCD
06cb3	河	CJK UNIFIED IDEOGRAPH-6CB3
07960	祠	CJK UNIFIED IDEOGRAPH-7960
06dd5	淕	CJK UNIFIED IDEOGRAPH-6DD5
08deb	跫	CJK UNIFIED IDEOGRAPH-8DEB
0778b	瞋	CJK UNIFIED IDEOGRAPH-778B
04e5e	乞	CJK UNIFIED IDEOGRAPH-4E5E
05f71	影	CJK UNIFIED IDEOGRAPH-5F71
058fd	壽	CJK UNIFIED IDEOGRAPH-58FD
0518a	冊	CJK UNIFIED IDEOGRAPH-518A
05afb	嫻	CJK UNIFIED IDEOGRAPH-5AFB
06c5f	江	CJK UNIFIED IDEOGRAPH-6C5F
09781	鞁	CJK UNIFIED IDEOGRAPH-9781
06de1	淡	CJK UNIFIED IDEOGRAPH-6DE1
08ddf	跟	CJK UNIFIED IDEOGRAPH-8DDF
08c41	豁	CJK UNIFIED IDEOGRAPH-8C41
079ae	禮	CJK UNIFIED IDEOGRAPH-79AE
05a03	娃	CJK UNIFIED IDEOGRAPH-5A03
04eb0	亰	CJK UNIFIED IDEOGRAPH-4EB0
05805	堅	CJK UNIFIED IDEOGRAPH-5805
05636	嘶	CJK UNIFIED IDEOGRAPH-5636
077bf	瞿	CJK UNIFIED IDEOGRAPH-77BF
07747	睇	CJK UNIFIED IDEOGRAPH-7747
063f4	援	CJK UNIFIED IDEOGRAPH-63F4
05150	児	CJK UNIFIED IDEOGRAPH-5150
05144	兄	CJK UNIFIED IDEOGRAPH-5144
08c8d	貍	CJK UNIFIED IDEOGRAPH-8C8D
06c93	沓	CJK UNIFIED IDEOGRAPH-6C93
08306	茆	CJK UNIFIED IDEOGRAPH-8306
077b0	瞰	CJK UNIFIED IDEOGRAPH-77B0
04e9f	亟	CJK UNIFIED IDEOGRAPH-4E9F
09756	靖	CJK UNIFIED IDEOGRAPH-9756
0846f	葯	CJK UNIFIED IDEOGRAPH-846F
08c82	貂	CJK UNIFIED IDEOGRAPH-8C82
083f1	菱	CJK UNIFIED IDEOGRAPH-83F1
09742	靂	CJK UNIFIED IDEOGRAPH-9742
0514b	克	CJK UNIFIED IDEOGRAPH-514B
05178	典	CJK UNIFIED IDEOGRAPH-5178
04e8b	事	CJK UNIFIED IDEOGRAPH-4E8B
051b3	决	CJK UNIFIED IDEOGRAPH-51B3
07009	瀉	CJK UNIFIED IDEOGRAPH-7009
0514c	兌	CJK UNIFIED IDEOGRAPH-514C
083f0	菰	CJK UNIFIED IDEOGRAPH-83F0
097a8	鞨	CJK UNIFIED IDEOGRAPH-97A8
051b2	冲	CJK UNIFIED IDEOGRAPH-51B2
051c6	准	CJK UNIFIED IDEOGRAPH-51C6
06302	挂	CJK UNIFIED IDEOGRAPH-6302
09031	週	CJK UNIFIED IDEOGRAPH-9031
063e9	揩	CJK UNIFIED IDEOGRAPH-63E9
08449	葉	CJK UNIFIED IDEOGRAPH-8449
056e0	因	CJK UNIFIED IDEOGRAPH-56E0
06c92	沒	CJK UNIFIED IDEOGRAPH-6C92
08c8e	貎	CJK UNIFIED IDEOGRAPH-8C8E
08461	葡	CJK UNIFIED IDEOGRAPH-8461
056db	四	CJK UNIFIED IDEOGRAPH-56DB
05145	充	CJK UNIFIED IDEOGRAPH-5145
051bd	冽	CJK UNIFIED IDEOGRAPH-51BD
097b4	鞴	CJK UNIFIED IDEOGRAPH-97B4
09019	這	CJK UNIFIED IDEOGRAPH-9019
084ad	蒭	CJK UNIFIED IDEOGRAPH-84AD
04e91	云	CJK UNIFIED IDEOGRAPH-4E91
06458	摘	CJK UNIFIED IDEOGRAPH-6458
083d8	菘	CJK UNIFIED IDEOGRAPH-83D8
08475	葵	CJK UNIFIED IDEOGRAPH-8475
05ae9	嫩	CJK UNIFIED IDEOGRAPH-5AE9
08cce	賎	CJK UNIFIED IDEOGRAPH-8CCE
05faa	循	CJK UNIFIED IDEOGRAPH-5FAA
05f70	彰	CJK UNIFIED IDEOGRAPH-5F70
04e5d	九	CJK UNIFIED IDEOGRAPH-4E5D
05f6b	彫	CJK UNIFIED IDEOGRAPH-5F6B
05186	円	CJK UNIFIED IDEOGRAPH-5186
07791	瞑	CJK UNIFIED IDEOGRAPH-7791
0978f	鞏	CJK UNIFIED IDEOGRAPH-978F
07949	祉	CJK UNIFIED IDEOGRAPH-7949
08cb7	買	CJK UNIFIED IDEOGRAPH-8CB7
0580b	堋	CJK UNIFIED IDEOGRAPH-580B
06cbd	沽	CJK UNIFIED IDEOGRAPH-6CBD
08cc3	賃	CJK UNIFIED IDEOGRAPH-8CC3
05f7f	彿	CJK UNIFIED IDEOGRAPH-5F7F
05192	冒	CJK UNIFIED IDEOGRAPH-5192
053b0	厰	CJK UNIFIED IDEOGRAPH-53B0
066b9	暹	CJK UNIFIED IDEOGRAPH-66B9
075c7	症	CJK UNIFIED IDEOGRAPH-75C7
08139	脹	CJK UNIFIED IDEOGRAPH-8139
072e1	狡	CJK UNIFIED IDEOGRAPH-72E1
0534a	半	CJK UNIFIED IDEOGRAPH-534A
0535e	卞	CJK UNIFIED IDEOGRAPH-535E
054e2	哢	CJK UNIFIED IDEOGRAPH-54E2
07578	畸	CJK UNIFIED IDEOGRAPH-7578
0754b	畋	CJK UNIFIED IDEOGRAPH-754B
08a95	誕	CJK UNIFIED IDEOGRAPH-8A95
0688d	梍	CJK UNIFIED IDEOGRAPH-688D
061fa	懺	CJK UNIFIED IDEOGRAPH-61FA
092f8	鋸	CJK UNIFIED IDEOGRAPH-92F8
06666	晦	CJK UNIFIED IDEOGRAPH-6666
06100	愀	CJK UNIFIED IDEOGRAPH-6100
095cd	闍	CJK UNIFIED IDEOGRAPH-95CD
075b3	疳	CJK UNIFIED IDEOGRAPH-75B3
0722d	爭	CJK UNIFIED IDEOGRAPH-722D
0543c	吼	CJK UNIFIED IDEOGRAPH-543C
05409	吉	CJK UNIFIED IDEOGRAPH-5409
0611b	愛	CJK UNIFIED IDEOGRAPH-611B
06128	愨	CJK UNIFIED IDEOGRAPH-6128
075ca	痊	CJK UNIFIED IDEOGRAPH-75CA
08105	脅	CJK UNIFIED IDEOGRAPH-8105
05347	升	CJK UNIFIED IDEOGRAPH-5347
07550	畐	CJK UNIFIED IDEOGRAPH-7550
06a90	檐	CJK UNIFIED IDEOGRAPH-6A90
07544	畄	CJK UNIFIED IDEOGRAPH-7544
092e4	鋤	CJK UNIFIED IDEOGRAPH-92E4
0889e	袞	CJK UNIFIED IDEOGRAPH-889E
06a84	檄	CJK UNIFIED IDEOGRAPH-6A84
061f7	懷	CJK UNIFIED IDEOGRAPH-61F7
05353	卓	CJK UNIFIED IDEOGRAPH-5353
054ed	哭	CJK UNIFIED IDEOGRAPH-54ED
053cb	友	CJK UNIFIED IDEOGRAPH-53CB
0610f	意	CJK UNIFIED IDEOGRAPH-610F
086af	蚯	CJK UNIFIED IDEOGRAPH-86AF
075be	疾	CJK UNIFIED IDEOGRAPH-75BE
08abc	誼	CJK UNIFIED IDEOGRAPH-8ABC
06f09	漉	CJK UNIFIED IDEOGRAPH-6F09
05cfa	峺	CJK UNIFIED IDEOGRAPH-5CFA
08844	衄	CJK UNIFIED IDEOGRAPH-8844
09b6f	魯	CJK UNIFIED IDEOGRAPH-9B6F
09582	閂	CJK UNIFIED IDEOGRAPH-9582
07b71	筱	CJK UNIFIED IDEOGRAPH-7B71
0685c	桜	CJK UNIFIED IDEOGRAPH-685C
09596	閖	CJK UNIFIED IDEOGRAPH-9596
08fea	迪	CJK UNIFIED IDEOGRAPH-8FEA
0758a	疊	CJK UNIFIED IDEOGRAPH-758A
07b65	筥	CJK UNIFIED IDEOGRAPH-7B65
0539f	原	CJK UNIFIED IDEOGRAPH-539F
05dac	嶬	CJK UNIFIED IDEOGRAPH-5DAC
068b6	梶	CJK UNIFIED IDEOGRAPH-68B6
068cd	棍	CJK UNIFIED IDEOGRAPH-68CD
05384	厄	CJK UNIFIED IDEOGRAPH-5384
09b74	魴	CJK UNIFIED IDEOGRAPH-9B74
06a47	橇	CJK UNIFIED IDEOGRAPH-6A47
09ed9	黙	CJK UNIFIED IDEOGRAPH-9ED9
07587	疇	CJK UNIFIED IDEOGRAPH-7587
06841	桁	CJK UNIFIED IDEOGRAPH-6841
07b6c	筬	CJK UNIFIED IDEOGRAPH-7B6C
08f3f	輿	CJK UNIFIED IDEOGRAPH-8F3F
09bae	鮮	CJK UNIFIED IDEOGRAPH-9BAE
05c28	尨	CJK UNIFIED IDEOGRAPH-5C28
0555c	啜	CJK UNIFIED IDEOGRAPH-555C
052e4	勤	CJK UNIFIED IDEOGRAPH-52E4
06060	恠	CJK UNIFIED IDEOGRAPH-6060
09435	鐵	CJK UNIFIED IDEOGRAPH-9435
0871a	蜚	CJK UNIFIED IDEOGRAPH-871A
055b6	営	CJK UNIFIED IDEOGRAPH-55B6
0522a	刪	CJK UNIFIED IDEOGRAPH-522A
09421	鐡	CJK UNIFIED IDEOGRAPH-9421
0743f	琿	CJK UNIFIED IDEOGRAPH-743F
074e7	瓧	CJK UNIFIED IDEOGRAPH-74E7
067f1	柱	CJK UNIFIED IDEOGRAPH-67F1
0606f	息	CJK UNIFIED IDEOGRAPH-606F
052f8	勸	CJK UNIFIED IDEOGRAPH-52F8
05233	刳	CJK UNIFIED IDEOGRAPH-5233
073a9	玩	CJK UNIFIED IDEOGRAPH-73A9
0671d	朝	CJK UNIFIED IDEOGRAPH-671D
093b0	鎰	CJK UNIFIED IDEOGRAPH-93B0
060a3	患	CJK UNIFIED IDEOGRAPH-60A3
08703	蜃	CJK UNIFIED IDEOGRAPH-8703
05227	刧	CJK UNIFIED IDEOGRAPH-5227
052df	募	CJK UNIFIED IDEOGRAPH-52DF
087fb	蟻	CJK UNIFIED IDEOGRAPH-87FB
07d63	絣	CJK UNIFIED IDEOGRAPH-7D63
05bae	宮	CJK UNIFIED IDEOGRAPH-5BAE
09c1b	鰛	CJK UNIFIED IDEOGRAPH-9C1B
07c11	簑	CJK UNIFIED IDEOGRAPH-7C11
07daf	綯	CJK UNIFIED IDEOGRAPH-7DAF
05e06	帆	CJK UNIFIED IDEOGRAPH-5E06
09d72	鵲	CJK UNIFIED IDEOGRAPH-9D72
089e7	觧	CJK UNIFIED IDEOGRAPH-89E7
07cf2	糲	CJK UNIFIED IDEOGRAPH-7CF2
07d6e	絮	CJK UNIFIED IDEOGRAPH-7D6E
06921	椡	CJK UNIFIED IDEOGRAPH-6921
09c14	鰔	CJK UNIFIED IDEOGRAPH-9C14
05e1d	帝	CJK UNIFIED IDEOGRAPH-5E1D
05ba3	宣	CJK UNIFIED IDEOGRAPH-5BA3
04f30	估	CJK UNIFIED IDEOGRAPH-4F30
0892b	褫	CJK UNIFIED IDEOGRAPH-892B
069ed	槭	CJK UNIFIED IDEOGRAPH-69ED
05ef1	廱	CJK UNIFIED IDEOGRAPH-5EF1
057c0	埀	CJK UNIFIED IDEOGRAPH-57C0
062c9	拉	CJK UNIFIED IDEOGRAPH-62C9
06e8f	溏	CJK UNIFIED IDEOGRAPH-6E8F
08e91	躑	CJK UNIFIED IDEOGRAPH-8E91
0827e	艾	CJK UNIFIED IDEOGRAPH-827E
0574e	坎	CJK UNIFIED IDEOGRAPH-574E
06276	扶	CJK UNIFIED IDEOGRAPH-6276
096db	雛	CJK UNIFIED IDEOGRAPH-96DB
08e85	躅	CJK UNIFIED IDEOGRAPH-8E85
076e5	盥	CJK UNIFIED IDEOGRAPH-76E5
0826a	艪	CJK UNIFIED IDEOGRAPH-826A
071c3	燃	CJK UNIFIED IDEOGRAPH-71C3
05019	候	CJK UNIFIED IDEOGRAPH-5019
0502c	倬	CJK UNIFIED IDEOGRAPH-502C
08515	蔕	CJK UNIFIED IDEOGRAPH-8515
082ab	芫	CJK UNIFIED IDEOGRAPH-82AB
082b8	芸	CJK UNIFIED IDEOGRAPH-82B8
091c6	釆	CJK UNIFIED IDEOGRAPH-91C6
06538	攸	CJK UNIFIED IDEOGRAPH-6538
06e80	満	CJK UNIFIED IDEOGRAPH-6E80
0914c	酌	CJK UNIFIED IDEOGRAPH-914C
05025	倥	CJK UNIFIED IDEOGRAPH-5025
071ce	燎	CJK UNIFIED IDEOGRAPH-71CE
0962e	阮	CJK UNIFIED IDEOGRAPH-962E
08ecc	軌	CJK UNIFIED IDEOGRAPH-8ECC
07aff	竿	CJK UNIFIED IDEOGRAPH-7AFF
06bd2	毒	CJK UNIFIED IDEOGRAPH-6BD2
09192	醒	CJK UNIFIED IDEOGRAPH-9192
06e4e	湎	CJK UNIFIED IDEOGRAPH-6E4E
07f75	罵	CJK UNIFIED IDEOGRAPH-7F75
07815	砕	CJK UNIFIED IDEOGRAPH-7815
08b20	謠	CJK UNIFIED IDEOGRAPH-8B20
09838	頸	CJK UNIFIED IDEOGRAPH-9838
08ec5	軅	CJK UNIFIED IDEOGRAPH-8EC5
09810	預	CJK UNIFIED IDEOGRAPH-9810
07af0	竰	CJK UNIFIED IDEOGRAPH-7AF0
06e43	湃	CJK UNIFIED IDEOGRAPH-6E43
05958	奘	CJK UNIFIED IDEOGRAPH-5958
098fe	飾	CJK UNIFIED IDEOGRAPH-98FE
06289	抉	CJK UNIFIED IDEOGRAPH-6289
08eb1	躱	CJK UNIFIED IDEOGRAPH-8EB1
0597d	好	CJK UNIFIED IDEOGRAPH-597D
09f72	齲	CJK UNIFIED IDEOGRAPH-9F72
078f4	磴	CJK UNIFIED IDEOGRAPH-78F4
06bdf	毟	CJK UNIFIED IDEOGRAPH-6BDF
07f6e	置	CJK UNIFIED IDEOGRAPH-7F6E
08e5f	蹟	CJK UNIFIED IDEOGRAPH-8E5F
09812	頒	CJK UNIFIED IDEOGRAPH-9812
06b27	欧	CJK UNIFIED IDEOGRAPH-6B27
059a5	妥	CJK UNIFIED IDEOGRAPH-59A5
09806	順	CJK UNIFIED IDEOGRAPH-9806
09f66	齦	CJK UNIFIED IDEOGRAPH-9F66
0918b	醋	CJK UNIFIED IDEOGRAPH-918B
06beb	毫	CJK UNIFIED IDEOGRAPH-6BEB
07195	熕	CJK UNIFIED IDEOGRAPH-7195
05782	垂	CJK UNIFIED IDEOGRAPH-5782
09190	醐	CJK UNIFIED IDEOGRAPH-9190
078e8	磨	CJK UNIFIED IDEOGRAPH-78E8
08e50	蹐	CJK UNIFIED IDEOGRAPH-8E50
059ac	妬	CJK UNIFIED IDEOGRAPH-59AC
059b9	妹	CJK UNIFIED IDEOGRAPH-59B9
06eb6	溶	CJK UNIFIED IDEOGRAPH-6EB6
09a28	騨	CJK UNIFIED IDEOGRAPH-9A28
07faf	羯	CJK UNIFIED IDEOGRAPH-7FAF
08ebe	躾	CJK UNIFIED IDEOGRAPH-8EBE
06ec2	滂	CJK UNIFIED IDEOGRAPH-6EC2
09a0f	騏	CJK UNIFIED IDEOGRAPH-9A0F
06b3e	款	CJK UNIFIED IDEOGRAPH-6B3E
09af7	髷	CJK UNIFIED IDEOGRAPH-9AF7
08e44	蹄	CJK UNIFIED IDEOGRAPH-8E44
07f77	罷	CJK UNIFIED IDEOGRAPH-7F77
08271	艱	CJK UNIFIED IDEOGRAPH-8271
076de	盞	CJK UNIFIED IDEOGRAPH-76DE
06e82	溂	CJK UNIFIED IDEOGRAPH-6E82
065f1	旱	CJK UNIFIED IDEOGRAPH-65F1
096e2	離	CJK UNIFIED IDEOGRAPH-96E2
08517	蔗	CJK UNIFIED IDEOGRAPH-8517
07624	瘤	CJK UNIFIED IDEOGRAPH-7624
0651d	攝	CJK UNIFIED IDEOGRAPH-651D
07630	瘰	CJK UNIFIED IDEOGRAPH-7630
05999	妙	CJK UNIFIED IDEOGRAPH-5999
07156	煖	CJK UNIFIED IDEOGRAPH-7156
07f88	羈	CJK UNIFIED IDEOGRAPH-7F88
076ea	盪	CJK UNIFIED IDEOGRAPH-76EA
085fb	藻	CJK UNIFIED IDEOGRAPH-85FB
08e8a	躊	CJK UNIFIED IDEOGRAPH-8E8A
06e96	準	CJK UNIFIED IDEOGRAPH-6E96
096d6	雖	CJK UNIFIED IDEOGRAPH-96D6
0914a	酊	CJK UNIFIED IDEOGRAPH-914A
06248	扈	CJK UNIFIED IDEOGRAPH-6248
05769	坩	CJK UNIFIED IDEOGRAPH-5769
08e93	躓	CJK UNIFIED IDEOGRAPH-8E93
06260	扠	CJK UNIFIED IDEOGRAPH-6260
091cb	釋	CJK UNIFIED IDEOGRAPH-91CB
082a6	芦	CJK UNIFIED IDEOGRAPH-82A6
0851a	蔚	CJK UNIFIED IDEOGRAPH-851A
0502a	倪	CJK UNIFIED IDEOGRAPH-502A
09621	阡	CJK UNIFIED IDEOGRAPH-9621
08259	艙	CJK UNIFIED IDEOGRAPH-8259
08e87	躇	CJK UNIFIED IDEOGRAPH-8E87
076e7	盧	CJK UNIFIED IDEOGRAPH-76E7
065d9	旙	CJK UNIFIED IDEOGRAPH-65D9
034c1	㓁	CJK UNIFIED IDEOGRAPH-34C1
06923	椣	CJK UNIFIED IDEOGRAPH-6923
05580	喀	CJK UNIFIED IDEOGRAPH-5580
05ef3	廳	CJK UNIFIED IDEOGRAPH-5EF3
06089	悉	CJK UNIFIED IDEOGRAPH-6089
09ce9	鳩	CJK UNIFIED IDEOGRAPH-9CE9
09d64	鵤	CJK UNIFIED IDEOGRAPH-9D64
07da2	綢	CJK UNIFIED IDEOGRAPH-7DA2
05e38	常	CJK UNIFIED IDEOGRAPH-5E38
05e0b	帋	CJK UNIFIED IDEOGRAPH-5E0B
07c07	簇	CJK UNIFIED IDEOGRAPH-7C07
04f3d	伽	CJK UNIFIED IDEOGRAPH-4F3D
04fe5	俥	CJK UNIFIED IDEOGRAPH-4FE5
07d61	絡	CJK UNIFIED IDEOGRAPH-7D61
07d75	絵	CJK UNIFIED IDEOGRAPH-7D75
08098	肘	CJK UNIFIED IDEOGRAPH-8098
07cd8	糘	CJK UNIFIED IDEOGRAPH-7CD8
05efe	廾	CJK UNIFIED IDEOGRAPH-5EFE
04fd1	俑	CJK UNIFIED IDEOGRAPH-4FD1
05bc9	寉	CJK UNIFIED IDEOGRAPH-5BC9
09c0d	鰍	CJK UNIFIED IDEOGRAPH-9C0D
07dad	維	CJK UNIFIED IDEOGRAPH-7DAD
07c13	簓	CJK UNIFIED IDEOGRAPH-7C13
06738	朸	CJK UNIFIED IDEOGRAPH-6738
0670b	朋	CJK UNIFIED IDEOGRAPH-670B
0943a	鐺	CJK UNIFIED IDEOGRAPH-943A
05b89	安	CJK UNIFIED IDEOGRAPH-5B89
05557	啗	CJK UNIFIED IDEOGRAPH-5557
0606d	恭	CJK UNIFIED IDEOGRAPH-606D
067f3	柳	CJK UNIFIED IDEOGRAPH-67F3
08073	聳	CJK UNIFIED IDEOGRAPH-8073
052dd	勝	CJK UNIFIED IDEOGRAPH-52DD
05225	別	CJK UNIFIED IDEOGRAPH-5225
055a8	喨	CJK UNIFIED IDEOGRAPH-55A8
055bb	喻	CJK UNIFIED IDEOGRAPH-55BB
07432	琲	CJK UNIFIED IDEOGRAPH-7432
073ce	珎	CJK UNIFIED IDEOGRAPH-73CE
0671f	期	CJK UNIFIED IDEOGRAPH-671F
0871c	蜜	CJK UNIFIED IDEOGRAPH-871C
08729	蜩	CJK UNIFIED IDEOGRAPH-8729
06062	恢	CJK UNIFIED IDEOGRAPH-6062
067fe	柾	CJK UNIFIED IDEOGRAPH-67FE
0807e	聾	CJK UNIFIED IDEOGRAPH-807E
0734f	獏	CJK UNIFIED IDEOGRAPH-734F
052e6	勦	CJK UNIFIED IDEOGRAPH-52E6
052d2	勒	CJK UNIFIED IDEOGRAPH-52D2
087f6	蟶	CJK UNIFIED IDEOGRAPH-87F6
07368	獨	CJK UNIFIED IDEOGRAPH-7368
07591	疑	CJK UNIFIED IDEOGRAPH-7591
08fd1	近	CJK UNIFIED IDEOGRAPH-8FD1
06fef	濯	CJK UNIFIED IDEOGRAPH-6FEF
0958f	閏	CJK UNIFIED IDEOGRAPH-958F
088b1	袱	CJK UNIFIED IDEOGRAPH-88B1
09bc9	鯉	CJK UNIFIED IDEOGRAPH-9BC9
05c0d	對	CJK UNIFIED IDEOGRAPH-5C0D
06f23	漣	CJK UNIFIED IDEOGRAPH-6F23
088c5	装	CJK UNIFIED IDEOGRAPH-88C5
068a8	梨	CJK UNIFIED IDEOGRAPH-68A8
08a5b	詛	CJK UNIFIED IDEOGRAPH-8A5B
06843	桃	CJK UNIFIED IDEOGRAPH-6843
08fe5	迥	CJK UNIFIED IDEOGRAPH-8FE5
06fdb	濛	CJK UNIFIED IDEOGRAPH-6FDB
